name,lat,lon,name2,coast
1102,32.976667,130.220556,OURA,645
1147,33.158056,129.723889,SASEBO II,645
1293,33.266111,131.686667,OITA II,645
1094,33.618889,130.407778,HAKATA,645
1586,34.197778,129.291667,IZUHARA II,645
1671,24.332222,124.163611,ISHIGAKI II,646
1151,26.213333,127.665278,NAHA,646
1522,28.5,129.5,NASE III,646
1105,29.841944,129.847778,NAKANO SIMA,646
1585,34.897222,132.066111,HAMADA II,647
1387,35.476667,135.386944,MAIZURU II,647
811,35.547778,133.243056,SAKAI,647
1148,35.593611,134.315833,TAJIRI,647
1095,36.201389,133.331111,SAIGO,647
1389,36.762222,137.224722,TOYAMA,647
753,37.356667,138.508333,KASHIWAZAKI,647
1093,38.467778,139.255,AWA SIMA,647
1264,39.942222,139.705833,OGA,647
721,40.8975,140.859167,ASAMUSHI,647
1391,27.083333,142.183333,CHICHIJIMA,648
1216,-42.545861,147.932722,SPRING BAY,680
683,-41.050083,145.915,BURNIE,680
1836,-38.547194,143.988833,LORNE,680
1033,-38.372139,145.224694,STONY POINT,680
1547,-38.343444,141.613167,PORTLAND,680
833,-37.07366,149.907739,EDEN,680
1069,-35.562481,138.635403,VICTOR HARBOUR,680
957,-35.033722,117.892556,ALBANY,680
448,-34.779761,138.480728,PORT ADELAIDE (OUTER HARBOR),680
230,-34.715903,135.870011,PORT LINCOLN,680
831,-34.47375,150.911861,PORT KEMBLA,680
1420,-33.926017,137.615169,WALLAROO II,680
1114,-33.870889,121.895361,ESPERANCE,680
196,-33.854667,151.225778,"SYDNEY, FORT DENISON 2",680
2358,-33.8255,151.2585,SYDNEY PORT JACKSON,680
834,-33.323444,115.659972,BUNBURY,680
216,-33.177644,138.01165,PORT PIRIE,680
837,-32.924,151.788583,NEWCASTLE V,680
386,-32.148944,133.641333,THEVENARD,680
111,-32.055833,115.739444,FREMANTLE,680
1761,-31.825556,115.738583,HILLARYS,680
2313,-31.426792,152.910983,PORT MACQUARIE,680
310,-29.429712,153.361875,YAMBA,680
1031,-28.775972,114.601889,GERALDTON,680
2310,-28.536811,153.552111,BRUNSWICK HEADS,680
1704,-27.95,153.416667,GOLD COAST SEAWAY 2,680
822,-27.366667,153.166667,BRISBANE (WEST INNER BAR),680
1493,-26.683333,153.133333,MOOLOOLABA 2,680
1115,-24.898694,113.651028,CARNARVON,680
1154,-24.766667,152.383333,"BUNDABERG, BURNETT HEADS",680
